,mjd,dm,width,bw,peakf,fluence,E
165,58725.957412467,565.8,4.11,0.11,5.241,0.0215,2.3039999999999995e+37
166,58725.958314159005,569.0,5.89,0.15,58.68,0.3456,3.7e+38
167,58725.959789238,569.9,5.6,0.15,46.34,0.2595,2.778e+38
168,58725.959789240995,566.0,4.99,0.2,12.981,0.0647,6.930999999999999e+37
169,58725.961776127995,570.0,10.3,0.1,31.69,0.3264,3.494e+38
170,58725.962338775,566.0,2.04,0.17,13.112,0.0268,2.8669999999999997e+37
171,58725.962802477,569.4,9.62,0.21,16.386,0.1577,1.6879999999999999e+38
172,58725.96290039,565.0,7.3,0.2,24.58,0.1794,1.921e+38
173,58725.964332785996,565.9,9.14,0.2,100.11,0.915,9.795e+38
174,58725.96544401401,568.9,3.53,0.1,50.48,0.1782,1.9079999999999997e+38
175,58725.966511348,564.6,2.55,0.3,247.36,0.6308,6.7519999999999996e+38
176,58725.968064539,565.9,4.31,0.2,65.65,0.2829,3.0289999999999998e+38
177,58725.970809777005,566.1,4.89,0.1,45.12,0.2206,2.3620000000000002e+38
178,58725.973533113,566.0,4.06,0.2,18.017,0.0732,7.833999999999999e+37
179,58725.973860175,563.2,2.01,0.18,16.979,0.0341,3.649e+37
180,58725.973954948,564.6,3.17,0.1,80.2,0.2542,2.722e+38
181,58725.973954960995,566.0,5.33,0.135,15.892,0.0846,9.060999999999999e+37
182,58725.974858771,561.0,4.19,0.06,9.786,0.041,4.39e+37
183,58725.976530224005,566.0,3.21,0.135,26.036,0.0837,8.955e+37
184,58725.976530252,566.5,3.14,0.05,82.9,0.2603,2.787e+38
185,58725.977864314,566.0,4.03,0.2,13.086,0.0527,5.64e+37
186,58725.978267731,566.0,3.77,0.18,9.587,0.0361,3.864e+37
187,58725.979701515,565.6,4.71,0.3,126.45,0.5956,6.376e+38
188,58725.981471414,567.9,8.52,0.25,37.88,0.3227,3.455e+38
189,58725.981608494,564.9,3.42,0.4,97.32,0.3328,3.563e+38
190,58725.986480750995,566.0,3.71,0.205,38.808,0.144,1.542e+38
191,58725.986480773,567.4,3.95,0.1,101.0,0.399,4.271e+38
192,58725.986508302994,566.3,3.22,0.1,27.74,0.0893,9.562e+37
193,58725.98847947401,566.0,3.75,0.1,9.238,0.0346,3.704e+37
194,58725.992262885,563.7,3.19,0.14,9.013,0.0288,3.0779999999999995e+37
195,58725.99259995599,566.0,2.67,0.15,17.826,0.0475,5.087e+37
196,58725.992788134005,563.9,5.28,0.05,42.43,0.224,2.398e+38
197,58725.993465613,569.8,4.47,0.17,9.075,0.0406,4.341999999999999e+37
198,58725.994542684006,563.0,5.33,0.05,41.07,0.2189,2.343e+38
199,58725.994952635,560.0,10.62,0.2,28.35,0.3011,3.223e+38
200,58725.99495273401,565.6,3.13,0.2,27.44,0.0859,9.194000000000001e+37
201,58725.995131277,564.5,2.32,0.15,89.95,0.2087,2.234e+38
202,58725.995131283,566.0,2.45,0.095,25.208,0.0618,6.613e+37
203,58725.995459423,563.5,3.62,0.15,130.13,0.4711,5.043e+38
204,58725.995459426,566.0,3.74,0.185,38.459,0.1438,1.54e+38
205,58725.99549005,566.0,5.51,0.2,13.982,0.077,8.242000000000001e+37
206,58725.997697326,569.8,8.53,0.19,7.698,0.0657,7.028e+37
207,58725.998307767004,570.0,5.52,0.1,47.5,0.2622,2.8069999999999997e+38
208,58726.91850722401,564.6,2.6,0.2,142.99,0.3718,3.98e+38
209,58726.919059259,562.8,3.36,0.15,11.909,0.04,4.284e+37
210,58726.921590032005,568.9,7.53,0.17,8.304,0.0625,6.69e+37
211,58726.922273689,568.5,7.39,0.12,8.057,0.0595,6.373e+37
212,58726.924095985,566.3,4.45,0.33,12.601,0.0561,5.9999999999999995e+37
213,58726.924528635,566.0,3.32,0.045,13.896,0.0461,4.937e+37
214,58726.927726974005,550.6,4.44,0.065,11.364,0.0505,5.4059999999999995e+37
215,58726.928036820995,564.5,6.96,0.12,14.015,0.0975,1.044e+38
216,58726.929464983,564.0,2.07,0.1,93.53,0.1936,2.073e+38
217,58726.929464997,566.0,2.64,0.26,18.265,0.0481,5.152999999999999e+37
218,58726.929640707,566.0,4.43,0.11,14.594,0.0647,6.928e+37
219,58726.931862194004,566.5,5.16,0.3,62.56,0.3228,3.456e+38
220,58726.936039377004,566.5,9.03,0.3,85.79,0.7747,8.292999999999999e+38
221,58726.937128385,566.0,2.88,0.17,7.319,0.0211,2.257e+37
222,58726.938300849004,562.7,2.61,0.35,178.31,0.4654,4.982e+38
223,58726.938300869006,566.0,4.21,0.245,36.122,0.1522,1.6299999999999999e+38
224,58726.938411122,569.0,2.15,0.11,15.019,0.0323,3.4609999999999997e+37
225,58726.942553442,569.8,6.73,0.105,5.497,0.037,3.9629999999999997e+37
226,58726.94971761,565.6,4.64,0.05,46.32,0.2149,2.3010000000000002e+38
227,58726.954890369,564.1,1.82,0.2,80.45,0.1464,1.5669999999999998e+38
228,58726.954890386,566.0,2.47,0.205,13.946,0.0344,3.6819999999999997e+37
229,58726.9571984,566.0,4.06,0.205,19.506,0.0791,8.471999999999999e+37
230,58726.957198413,567.4,3.98,0.13,79.38,0.3159,3.382e+38
231,58726.957958985,566.0,4.31,0.395,89.553,0.3856,4.127e+38
232,58726.957958996,564.6,3.76,0.35,407.9,1.5337,1.6419999999999998e+39
233,58726.959484347004,566.0,6.89,0.21,13.581,0.0935,1.001e+38
234,58726.959484423,566.9,6.86,0.2,53.11,0.3643,3.8999999999999995e+38
235,58726.960784931,563.0,5.95,0.1,44.68,0.2658,2.846e+38
236,58726.960784945,563.7,3.51,0.1,12.409,0.0435,4.662e+37
237,58726.965823587,566.2,3.01,0.1,51.1,0.1538,1.647e+38
238,58726.967530175,566.0,2.6,0.07,17.151,0.0446,4.775e+37
239,58726.968353199,567.9,5.23,0.3,70.34,0.3679,3.938e+38
240,58726.969790874005,569.0,7.68,0.19,20.1,0.1544,1.653e+38
241,58726.969790915,565.6,8.13,0.4,44.51,0.3619,3.874e+38
242,58726.971092351,566.0,2.78,0.12,15.221,0.0424,4.536999999999999e+37
243,58726.972044638,568.5,2.12,0.07,19.645,0.0417,4.466e+37
244,58726.97204465,563.7,3.25,0.05,44.9,0.1459,1.562e+38
245,58726.983188492995,564.9,2.34,0.4,99.07,0.2318,2.482e+38
246,58726.983188495,566.0,2.81,0.31,21.764,0.0611,6.543e+37
247,58726.987936974,564.5,3.15,0.4,104.95,0.3306,3.539e+38
248,58726.987936984006,566.0,3.8,0.2,17.794,0.0676,7.233999999999999e+37
249,58726.989496877,570.0,8.28,0.12,34.02,0.2817,3.015e+38
250,58726.995167647,567.8,6.77,0.05,38.88,0.2632,2.818e+38
251,58726.996145324,568.5,3.74,0.195,4.141,0.0155,1.6559999999999998e+37
252,58726.998228733,569.5,8.97,0.05,44.45,0.3987,4.268e+38
253,58726.998228757,559.7,5.31,0.105,10.333,0.0549,5.875e+37
254,58726.998228789,570.0,9.05,0.1,38.9,0.352,3.769e+38
255,58726.99859591,566.0,3.13,0.15,13.586,0.0425,4.549e+37
256,58727.00019973,566.0,3.85,0.18,8.929,0.0343,3.677e+37
257,58727.00120247599,566.0,3.4,0.21,10.515,0.0358,3.831e+37
258,58727.001219200996,569.4,5.0,0.205,12.193,0.061,6.525999999999999e+37
259,58727.001430927005,566.0,4.11,0.1,10.534,0.0433,4.63e+37
260,58727.004049262,566.0,3.99,0.18,10.408,0.0415,4.442e+37
261,58727.004170375,567.6,4.3,0.12,9.889,0.0425,4.55e+37
262,58727.004234515996,563.7,4.64,0.4,108.43,0.5031,5.386e+38
263,58727.00423454901,566.0,7.03,0.45,20.217,0.1422,1.522e+38
264,58727.005230264,569.4,3.35,0.075,2.56,0.0086,9.186e+36
265,58727.005347047,562.8,2.29,0.14,3.085,0.0071,7.57e+36
266,58727.006365174006,566.4,4.04,0.3,69.56,0.281,3.008e+38
267,58727.00810817,566.2,13.04,0.1,17.69,0.2307,2.469e+38
268,58727.0122032,568.5,7.54,0.16,10.593,0.0799,8.549e+37
269,58727.012321215996,565.1,2.66,0.05,124.44,0.331,3.543e+38
270,58727.012986908,564.5,2.43,0.25,109.12,0.2652,2.839e+38
271,58727.01298691401,566.0,2.75,0.35,21.918,0.0603,6.455e+37
272,58727.014227741,566.0,3.72,0.11,12.794,0.0476,5.097e+37
273,58727.01465544599,566.0,2.67,0.12,10.779,0.0288,3.0839999999999997e+37
274,58727.017564085,565.9,3.63,0.1,52.6,0.1909,2.044e+38
275,58727.018478524005,566.0,3.57,0.45,15.165,0.0541,5.789999999999999e+37
276,58727.018478547005,564.4,3.2,0.15,81.62,0.2612,2.796e+38
277,58727.019235532,568.5,5.17,0.15,6.379,0.0329,3.527e+37
278,58727.020509855,564.2,10.39,0.1,48.07,0.4995,5.3470000000000005e+38
279,58727.023864654,565.7,4.45,0.1,52.22,0.2324,2.488e+38
280,58727.023864719005,565.8,4.37,0.1,36.56,0.1598,1.71e+38
281,58727.02681744,565.7,4.75,0.35,109.44,0.5198,5.5650000000000004e+38
282,58727.02699823,566.0,3.98,0.25,13.533,0.0538,5.763e+37
283,58727.027891965,568.5,6.16,0.22,9.162,0.0565,6.045e+37
284,58727.029127362,562.3,5.07,0.19,6.878,0.0349,3.735e+37
285,58727.029613882994,566.0,3.58,0.17,13.242,0.0474,5.079e+37
286,58727.030106509,567.6,8.01,0.16,6.455,0.0517,5.537e+37
287,58727.03138304,562.8,4.87,0.14,8.477,0.0413,4.42e+37
288,58727.031993293,561.8,2.35,0.1,73.5,0.1727,1.849e+38
289,58727.031993302,566.0,2.57,0.15,17.21,0.0442,4.734e+37
290,58727.035075514,568.5,5.28,0.12,10.055,0.0531,5.683e+37
291,58727.035075572,568.6,6.73,0.1,40.16,0.2703,2.8929999999999996e+38
292,58727.03617163099,566.2,4.18,0.1,55.87,0.2335,2.5e+38
293,58727.039598375,564.4,11.05,0.1,52.06,0.5753,6.158e+38
294,58727.043038447,565.0,5.2,0.1,6.006,0.0312,3.343e+37
295,58727.043536157005,564.5,6.54,0.11,8.691,0.0568,6.083e+37
296,58727.044230758,566.0,2.1,0.15,19.689,0.0413,4.424999999999999e+37
297,58727.048149883,567.6,7.52,0.155,13.767,0.1036,1.109e+38
298,58727.048149906,564.3,7.63,0.15,50.71,0.3869,4.142e+38
299,58727.051034577,564.8,2.98,0.2,57.89,0.1725,1.847e+38
300,58727.054051542,568.1,3.51,0.12,7.29,0.0256,2.7400000000000003e+37
301,58727.058051522996,566.3,4.25,0.205,14.161,0.0602,6.445e+37
302,58727.058051531,567.2,5.91,0.3,54.54,0.3223,3.451e+38
303,58727.062005534004,564.0,3.13,0.3,84.97,0.266,2.847e+38
304,58727.066569033,565.1,4.46,0.2,102.01,0.455,4.87e+38
305,58727.072072188,566.3,7.72,0.175,7.202,0.0556,5.955e+37
306,58727.075009419,566.7,5.57,0.205,12.492,0.0696,7.45e+37
307,58727.077995899,563.2,5.23,0.03,8.703,0.0455,4.876e+37
308,58727.080254242,567.2,6.71,0.45,10.518,0.0706,7.553e+37
309,58727.087527934,565.1,5.98,0.4,51.88,0.3102,3.321e+38
310,58727.08752800099,566.0,4.41,0.12,57.355,0.2532,2.7109999999999997e+38
311,58727.087870348,564.5,6.56,0.15,14.166,0.0929,9.944e+37
312,58727.092331852,565.8,10.94,0.4,47.37,0.5182,5.548e+38
313,58727.096620708,564.5,6.58,0.045,12.064,0.0793,8.490999999999999e+37
314,58727.096620740995,568.9,5.63,0.2,59.98,0.3377,3.615e+38
315,58727.097070964,567.6,8.82,0.165,8.75,0.0772,8.262999999999999e+37
316,58727.099640112996,564.3,6.16,0.15,98.17,0.6047,6.474e+38
317,58727.099640135995,566.0,6.68,0.145,25.828,0.1724,1.846e+38
318,58727.894486747995,563.2,4.15,0.17,9.272,0.0385,4.1189999999999996e+37
319,58727.903804424,566.0,4.04,0.46,98.872,0.3996,4.277999999999999e+38
320,58727.906568088,565.0,4.75,0.14,6.057,0.0288,3.081e+37
321,58727.908047227,565.9,7.14,0.17,6.144,0.0439,4.698e+37
322,58727.910692196,566.0,3.55,0.2,32.362,0.115,1.2310000000000001e+38
323,58727.910692207,566.7,3.46,0.2,149.2,0.5162,5.526e+38
324,58727.911545632,567.2,2.62,0.11,4.829,0.0127,1.356e+37
325,58727.915270908,567.2,8.12,0.09,4.804,0.039,4.1749999999999996e+37
326,58727.915750478,563.8,2.81,0.3,595.3,1.6728,1.791e+39
327,58727.918912967005,566.0,3.1,0.205,46.053,0.1427,1.5269999999999998e+38
328,58727.918912974004,565.9,3.15,0.25,178.59,0.5626,6.022e+38
329,58727.921086782,567.2,3.34,0.165,9.122,0.0305,3.2649999999999998e+37
330,58727.921497784,568.5,7.31,0.27,11.145,0.0815,8.723e+37
331,58727.921793235,566.0,3.83,0.19,36.875,0.1411,1.5109999999999998e+38
